ano,estado,municipio,produto,area_plantada_ha,producao_toneladas
2018,SP,da Rocha,Arroz,879.32,3204.3
2002,BA,da Mata do Oeste,Algodão,19.33,2285.82
2018,MG,Fogaça,Arroz,934.19,2291.81
2019,BA,Melo,Café,559.44,1457.02
2006,MG,Correia,Feijão,921.8,3766.23
2019,RS,Moreira,Cana-de-açúcar,762.88,3237.03
2008,PA,da Mata do Oeste,Trigo,974.53,1914.11
2000,GO,Vieira,Milho,954.88,1077.57
2007,SP,Pires da Mata,Feijão,568.63,3958.62
2006,MS,da Conceição,Cana-de-açúcar,77.91,1060.87
2017,RS,Teixeira,Feijão,229.84,591.54
2007,RS,Melo de Carvalho,Milho,554.19,2815.84
2000,GO,Alves de Ribeiro,Feijão,161.56,3534.08
2010,MG,da Paz,Café,356.71,2273.57
2017,SC,da Conceição,Cana-de-açúcar,921.4,595.87
2022,PA,Gomes das Flores,Algodão,646.56,2951.39
2009,RS,Teixeira,Trigo,616.84,792.99
2002,MG,Silva,Arroz,793.88,4177.1
2006,GO,Aragão das Flores,Soja,281.07,2572.05
2015,PA,Aragão das Pedras,Arroz,445.43,196.17
2015,GO,Azevedo,Feijão,510.25,4581.14
2019,MS,Moreira,Cana-de-açúcar,144.03,535.44
2016,GO,Pires da Mata,Trigo,298.47,487.83
2001,PR,Moraes Verde,Arroz,47.22,2767.96
2000,RS,Viana do Amparo,Cana-de-açúcar,960.76,4909.86
2015,BA,da Luz,Café,822.11,1984.22
2011,BA,Aragão das Pedras,Feijão,682.41,2519.88
2004,SP,Correia,Trigo,55.41,2462.16
2004,GO,Gonçalves,Algodão,561.88,1165.06
2022,MG,Fernandes,Arroz,941.46,3363.0
2008,MS,Correia,Algodão,967.54,4444.7
2008,SP,Freitas,Algodão,221.63,3167.11
2002,RS,Moreira,Milho,587.04,3252.75
2018,BA,Novaes,Feijão,37.08,4653.75
2015,GO,da Mata do Oeste,Algodão,,3563.22
2015,MG,Freitas da Praia,Milho,401.69,
2002,RS,Melo de Carvalho,Cana-de-açúcar,156.57,340.41
2019,BA,Almeida do Galho,Milho,611.17,2488.98
2023,PR,Souza,Milho,251.85,4280.59
2021,SC,Caldeira,Feijão,231.81,3084.53
2023,RS,Barbosa Grande,Trigo,701.53,4555.21
2000,MT,Melo de Carvalho,Café,465.02,2531.0
2023,MG,Peixoto,Milho,381.44,557.76
2019,PA,Correia,Milho,711.41,2443.85
2010,GO,da Costa da Prata,Café,946.39,528.24
2016,SP,Dias,Algodão,322.01,1166.4
2007,MT,Silveira de Minas,Cana-de-açúcar,148.79,1698.56
2003,RS,da Costa da Prata,Milho,524.15,2371.92
2005,PR,Aragão das Flores,Arroz,286.38,4139.57
2007,SP,Fernandes,Soja,120.29,2826.04
2019,SC,Silveira de Minas,Arroz,405.36,252.44
2002,MS,Barbosa Grande,Feijão,449.14,3177.06
2015,PR,Peixoto,Milho,521.05,393.86
2002,GO,Melo de Carvalho,Trigo,335.61,4355.22
2017,MT,Viana do Amparo,Milho,,1694.28
2013,PA,Almeida do Galho,Trigo,933.88,178.6
2017,MG,Silveira de Minas,Algodão,891.06,4841.56
2001,BA,Cardoso de Minas,Milho,252.34,2828.78
2021,SC,da Rocha,Feijão,796.98,733.32
2002,PA,Vieira,Milho,605.61,
2015,PA,Araújo de Rezende,Milho,588.62,3378.35
2008,MG,da Costa,Café,369.09,3481.32
2003,MS,Vieira,Cana-de-açúcar,617.91,2004.5
2000,PA,Almeida do Galho,Trigo,351.07,1139.31
2003,GO,da Mata do Oeste,Feijão,550.75,869.35
2000,MG,Aragão das Pedras,Soja,746.49,1583.23
2013,SP,Correia,Cana-de-açúcar,413.93,1462.64
2020,PR,Vieira,Soja,846.86,2859.03
2015,PA,Correia,Algodão,994.73,540.92
2019,MS,Novaes,Cana-de-açúcar,332.4,754.4
2023,SP,Souza,Arroz,692.45,2688.54
2007,MG,Azevedo do Amparo,Algodão,871.39,4992.11
2006,MG,Peixoto,Feijão,530.3,3765.4
2002,MS,Dias,Trigo,505.13,4471.39
2016,MG,da Rocha,Soja,715.18,249.87
2000,PR,Teixeira,Algodão,231.43,937.99
2015,SC,Moraes Verde,Milho,460.71,
2011,BA,Viana do Amparo,Milho,626.55,3997.75
2018,BA,Souza,Café,661.51,383.01
2021,RS,da Costa da Prata,Soja,457.81,1326.45
2022,GO,Almeida,Arroz,714.87,127.85
2021,MT,Caldeira,Feijão,286.65,3927.75
2013,MG,Dias,Milho,351.02,492.33
2005,MS,Fogaça,Feijão,695.14,441.25
2005,BA,Almeida,Arroz,494.23,2669.12
2012,MG,Dias,Algodão,461.14,3462.21
2018,MS,Barbosa Grande,Milho,557.94,
2021,PR,Cardoso,Soja,257.57,1145.23
2007,MS,Moraes Verde,Café,71.73,4758.67
2001,PA,Teixeira,Trigo,70.63,3420.02
2020,SC,Azevedo do Amparo,Trigo,766.96,3963.43
2000,BA,Correia,Soja,708.18,2181.9
2014,MS,da Costa da Prata,Arroz,470.07,2401.82
2000,BA,Almeida,Cana-de-açúcar,325.85,1154.88
2004,MG,Fogaça,Feijão,41.43,1396.44
2015,MG,Azevedo do Amparo,Feijão,302.27,696.18
2018,SP,Silva,Algodão,650.17,4704.63
2003,SP,Correia,Trigo,46.45,4724.19
2002,BA,Cardoso de Minas,Cana-de-açúcar,566.71,3816.11
2016,PA,da Rocha,Arroz,73.74,
2016,PA,Pires da Mata,Cana-de-açúcar,523.15,544.82
2011,SC,Dias,Algodão,108.89,1502.79
2013,GO,Aragão das Pedras,Algodão,,2007.93
2020,MT,Barbosa Grande,Arroz,235.69,1217.58
2005,PA,da Rocha,Soja,868.44,1491.17
2002,PA,Azevedo,Trigo,924.08,4620.69
2008,PA,Vieira,Cana-de-açúcar,926.36,6.93
2004,PA,Novaes,Milho,,273.25
2023,RS,Caldeira,Feijão,714.06,4424.19
2016,MS,Barbosa Grande,Soja,255.15,2519.7
2013,MG,das Neves,Arroz,211.16,2557.06
2020,RS,Alves de Ribeiro,Café,534.73,2709.79
2002,SP,Vieira,Algodão,538.64,4334.33
2000,BA,Fogaça,Café,955.04,1850.75
2019,MG,Dias,Café,444.02,2802.84
2020,MT,Almeida,Café,938.74,1137.13
2022,PA,Fogaça,Arroz,931.99,2246.21
2000,PA,da Conceição,Soja,816.1,541.49
2002,RS,Correia,Algodão,911.35,
2017,BA,Alves de Ribeiro,Algodão,329.53,
2009,SP,da Costa da Prata,Arroz,,1296.06
2021,SC,Cardoso de Minas,Soja,104.76,653.19
2002,SP,da Paz,Cana-de-açúcar,657.17,1202.66
2007,GO,Teixeira,Algodão,154.09,1628.5
2013,SC,Monteiro dos Dourados,Arroz,586.45,1056.14
2023,MT,Silva,Arroz,145.84,2014.99
2017,BA,da Conceição,Soja,170.59,589.08
2014,MT,Moraes Verde,Milho,944.85,2273.53
2021,MS,Monteiro dos Dourados,Soja,129.59,3053.88
2022,GO,Gonçalves,Feijão,137.3,3294.48
2001,MG,Gomes das Flores,Café,267.82,725.17
2009,MS,Oliveira Paulista,Milho,337.29,4358.18
2001,MS,Novaes,Cana-de-açúcar,13.09,
2016,PA,Teixeira,Feijão,441.21,664.13
2007,SP,Moreira,Trigo,508.14,2905.15
2000,SP,da Rocha,Algodão,715.49,1704.51
2008,GO,Vieira,Cana-de-açúcar,519.02,
2010,SC,Vieira,Algodão,778.86,3379.43
2021,SC,Teixeira,Arroz,921.02,3340.01
2015,MG,da Paz,Soja,72.87,834.92
2006,BA,da Luz,Cana-de-açúcar,963.37,676.67
2009,MT,Oliveira Paulista,Café,136.97,3695.4
2022,PR,Oliveira Paulista,Arroz,442.98,
2002,RS,Correia,Trigo,183.28,4803.09
2017,PA,Vieira,Arroz,924.29,1724.66
2023,PA,Oliveira Paulista,Feijão,66.66,3300.77
2012,MG,Correia,Algodão,925.32,4518.39
2006,PR,Fogaça,Milho,437.89,763.8
2003,SP,Silveira de Minas,Café,83.16,4535.83
2012,SC,Novaes,Milho,644.42,746.81
2019,PA,Caldeira,Cana-de-açúcar,659.23,
2000,MG,Rocha,Soja,539.34,4552.71
2007,MS,Almeida,Milho,692.09,1454.36
2013,MS,Moreira,Algodão,678.49,642.79
2015,SC,da Mata da Mata,Feijão,740.93,2700.54
2013,MG,Viana do Amparo,Trigo,127.47,3018.46
2011,RS,da Conceição,Cana-de-açúcar,702.19,721.58
2018,GO,da Mata da Mata,Trigo,680.81,787.84
2022,SC,da Costa da Prata,Cana-de-açúcar,280.97,2513.11
2014,MS,Cardoso de Minas,Café,722.17,1932.67
2001,PR,Viana do Amparo,Milho,52.71,276.89
2001,SC,Moraes Verde,Café,960.7,293.04
2022,RS,Barbosa Grande,Milho,228.74,3548.43
2021,MT,Nunes,Arroz,252.69,2437.57
2018,RS,Aragão das Flores,Cana-de-açúcar,520.54,4477.43
2021,BA,da Mata da Mata,Arroz,159.16,
2021,GO,Fernandes,Milho,548.94,780.43
2016,SP,Aragão das Pedras,Algodão,517.88,1552.14
2019,GO,Souza,Trigo,375.44,
2009,RS,Oliveira Paulista,Algodão,304.99,3321.85
2005,RS,Monteiro dos Dourados,Algodão,137.1,
2014,SC,Azevedo,Café,860.25,3108.27
2021,PR,Araújo de Rezende,Arroz,689.42,3803.38
2010,PA,Melo,Milho,231.38,
2004,GO,Nunes,Café,676.88,3106.89
2000,RS,Fogaça,Cana-de-açúcar,542.67,1314.59
2007,MS,Vieira,Feijão,196.85,4259.66
2020,MG,Alves de Ribeiro,Soja,790.45,576.79
2011,SP,da Conceição,Milho,977.47,2609.81
2011,MS,Vieira,Soja,681.96,1417.43
2004,MT,da Mata da Mata,Algodão,140.53,1037.62
2006,GO,Aragão das Pedras,Cana-de-açúcar,97.83,2812.57
2003,MS,Teixeira,Milho,510.78,2567.23
2005,SC,Viana do Amparo,Feijão,959.44,832.0
2012,RS,Nunes,Cana-de-açúcar,416.07,291.81
2019,SP,Rocha,Soja,880.31,1710.16
2014,BA,Melo de Carvalho,Algodão,926.09,3762.41
2002,SP,Caldeira,Café,796.89,1628.11
2022,MT,Correia,Arroz,403.38,3880.78
2007,SC,da Costa,Trigo,389.68,2169.39
2019,SP,Fogaça,Milho,710.32,2399.05
2015,BA,Silva,Algodão,511.49,4501.56
2012,BA,Vieira,Arroz,197.12,4027.1
2017,MT,Silva,Feijão,98.27,1075.4
2009,BA,da Mata da Mata,Trigo,606.75,2463.15
2018,RS,Moreira,Feijão,665.13,3701.36
2016,MT,Oliveira Paulista,Cana-de-açúcar,444.42,3983.5
2023,SP,Correia,Café,,224.18
2018,MS,Dias,Feijão,275.2,3709.39
2022,BA,Fogaça,Cana-de-açúcar,219.5,3924.45
2004,MG,Alves de Ribeiro,Soja,413.86,1338.17
2020,PR,Caldeira,Algodão,240.49,349.31
2022,MG,Oliveira Paulista,Cana-de-açúcar,219.63,4476.22
2008,RS,Azevedo do Amparo,Arroz,600.61,1852.9
2011,PA,Silva,Arroz,99.6,4425.29
2020,BA,Cardoso de Minas,Arroz,867.08,2804.39
2000,RS,Moraes Verde,Café,,2323.3
2000,SC,Monteiro dos Dourados,Feijão,241.87,1918.75
2014,MT,Souza,Soja,407.59,358.6
2001,MT,Melo,Algodão,980.08,4695.23
2021,MS,Silva,Milho,583.87,2855.68
2015,PR,Vieira,Cana-de-açúcar,555.07,2779.03
2007,SC,Teixeira,Arroz,372.61,4891.44
2012,PR,Barbosa Grande,Cana-de-açúcar,943.28,60.36
2020,GO,Peixoto,Café,717.04,2058.03
2000,MS,da Costa,Milho,958.13,4634.96
2015,BA,Aragão das Flores,Algodão,808.13,1331.59
2006,SP,Oliveira Paulista,Algodão,655.87,2872.42
2004,GO,Gonçalves,Trigo,471.96,2302.93
2021,RS,Pires da Mata,Trigo,263.61,4030.49
2022,MT,Freitas da Praia,Milho,889.69,1575.61
2002,RS,Aragão das Pedras,Café,467.86,1933.76
2011,MS,Araújo de Rezende,Café,870.35,3722.34
2015,MG,da Rocha,Arroz,646.73,4788.85
2018,BA,da Mata da Mata,Café,192.32,783.33
2004,PA,Nunes,Algodão,369.33,1579.39
2021,GO,Fogaça,Algodão,901.41,1128.43
2013,RS,Silva,Algodão,733.36,2922.52
2004,BA,Alves de Ribeiro,Trigo,,2051.95
2014,PA,da Paz,Café,785.63,3200.13
2016,RS,Correia,Trigo,272.34,185.15
2013,MS,da Mata da Mata,Café,836.75,2748.54
2019,BA,Vieira,Algodão,167.53,3374.72
2004,MT,Nunes,Café,350.01,2154.67
2011,PR,Melo,Arroz,635.14,4732.16
2015,MT,Oliveira Paulista,Cana-de-açúcar,868.53,2817.29
2015,SC,Barbosa Grande,Milho,898.47,4347.76
2020,MT,Fernandes,Cana-de-açúcar,707.81,1004.03
2006,SP,Correia,Feijão,560.65,2698.59
2003,RS,Rocha,Milho,208.66,4306.85
2000,PA,Fernandes,Arroz,569.0,2323.81
2004,PR,Correia,Arroz,56.99,4721.23
2022,MG,da Mata do Oeste,Soja,167.26,3545.59
2009,SC,Silveira de Minas,Trigo,398.49,4245.26
2021,RS,Peixoto,Soja,47.12,3453.44
2004,GO,Nunes,Milho,340.13,2124.81
2003,SP,Azevedo,Cana-de-açúcar,417.14,1773.87
2001,MG,Barbosa Grande,Soja,268.81,4079.87
2019,SP,Silveira de Minas,Arroz,903.24,2793.81
2009,RS,Araújo de Rezende,Feijão,228.38,725.13
2018,PA,Alves de Ribeiro,Trigo,420.89,2525.38
2000,SC,Moreira,Soja,239.19,1494.58
2023,BA,Novaes,Milho,342.89,1221.32
2004,MT,Gonçalves,Soja,516.59,1512.6
2012,PR,Monteiro dos Dourados,Trigo,338.24,3250.22
2003,PR,Oliveira Paulista,Arroz,156.59,4883.51
2015,SP,Cardoso de Minas,Soja,644.4,3560.89
2023,RS,Silva,Trigo,650.6,4741.81
2015,RS,Melo de Carvalho,Arroz,849.86,1800.8
2022,SP,Gonçalves,Arroz,332.96,1525.92
2001,MG,da Rocha,Soja,18.07,4822.62
2016,SP,Gomes das Flores,Algodão,517.48,1011.36
2019,SC,Azevedo,Soja,165.86,4281.11
2023,MT,da Rocha,Trigo,492.01,
2011,SC,Rocha,Milho,884.4,4737.33
2017,RS,Cardoso,Algodão,195.48,4671.24
2002,GO,Rocha,Arroz,863.38,2205.47
2000,PR,Gomes das Flores,Algodão,739.67,3706.79
2000,GO,Cardoso,Milho,309.63,
2018,MT,da Mata do Oeste,Cana-de-açúcar,534.08,1030.0
2010,RS,da Conceição,Arroz,833.72,1584.5
2004,PA,Correia,Algodão,611.43,1431.56
2011,MG,Gonçalves,Arroz,278.87,4308.29
2002,MT,Correia,Milho,402.99,1439.65
2000,BA,Monteiro dos Dourados,Soja,837.51,340.75
2000,RS,da Costa,Milho,183.74,3877.58
2007,MS,Oliveira Paulista,Milho,917.56,2884.32
2009,MG,Correia,Café,,3957.0
2010,MT,Dias,Trigo,124.65,4554.74
2011,MS,Fernandes,Café,746.49,3543.47
2012,PA,Fernandes,Arroz,94.18,4162.35
